Path,Artifact Type,Current Purpose,Referenced By,Classification,Information To Preserve,Canonical Destination,Recommended Action,Delete Preconditions,Risk,Git State,SHA256,Bytes,Reference Scan
docs/images/zh-CN/monitor-mq-message-detail.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/mq-reliability.en.md:418,docs/mq-reliability.jp.md:418,docs/mq-reliability.kr.md:418,docs/mq-reliability.md:417; SCRIPT=scripts/.work/qoder-stage-pathspec-b4.txt:11; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:96,omni-frontend/e2e-docs/screenshot-manifest.yaml:3603",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,d02dfc01be350df345e8180598b3faa8a8ef7460fb2ff2a416f33df6eb39c43c,137518,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/monitor-mq-messages.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:94,omni-frontend/e2e-docs/screenshot-manifest.yaml:464",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,ca9bfc573297c29f6add304af273db140a0319c76a06bf35a7e83b2537e30eab,174744,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=0; SCRIPT=0; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/procurement-approval-rules-mobile.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/procurement-flow.en.md:62,docs/guides/procurement-flow.jp.md:51,docs/guides/procurement-flow.kr.md:51,docs/guides/procurement-flow.md:62; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:200,omni-frontend/e2e-docs/screenshot-manifest.yaml:884",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,c6819a9bcc56c9830c255fae4a1508c943723de20664c9fd289032fe389ccb57,100390,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=0; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/procurement-approval-rules-tablet.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/procurement-flow.en.md:71,docs/guides/procurement-flow.jp.md:60,docs/guides/procurement-flow.kr.md:60,docs/guides/procurement-flow.md:71; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:201,omni-frontend/e2e-docs/screenshot-manifest.yaml:899",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,aa1ac6ee6face64c0a53076e4a951537f283d283aba302f05602c6c88253f643,134999,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=0; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/procurement-approval-rules.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/procurement-flow.en.md:53,docs/guides/procurement-flow.jp.md:42,docs/guides/procurement-flow.kr.md:42,docs/guides/procurement-flow.md:53; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:39,scripts/.work/qoder-doc-parity-findings-full.txt:43,scripts/.work/qoder-doc-parity-findings-full.txt:47,scripts/.work/qoder-doc-parity.json:784,scripts/.work/qoder-doc-parity.json:788,scripts/.work/qoder-doc-parity.json:825,scripts/.work/qoder-doc-parity.json:829,scripts/.work/qoder-doc-parity.json:866,scripts/.work/qoder-doc-parity.json:870,scripts/.work/qoder-doc-parity.txt:218,scripts/.work/qoder-doc-parity.txt:219,scripts/.work/qoder-doc-parity.txt:225,scripts/.work/qoder-doc-parity.txt:226,scripts/.work/qoder-doc-parity.txt:232,scripts/.work/qoder-doc-parity.txt:233; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:199,omni-frontend/e2e-docs/screenshot-coverage.yaml:222,omni-frontend/e2e-docs/screenshot-manifest.yaml:764",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,e6e0cdb1cd37ea34228e470da6216019c91c2ddbfb9daf524bd98ae5ad3d01e9,157304,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=3; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/procurement-overview.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/procurement-flow.en.md:23,docs/guides/procurement-flow.jp.md:23,docs/guides/procurement-flow.kr.md:23,docs/guides/procurement-flow.md:23; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:39,scripts/.work/qoder-doc-parity-findings-full.txt:43,scripts/.work/qoder-doc-parity-findings-full.txt:47,scripts/.work/qoder-doc-parity.json:785,scripts/.work/qoder-doc-parity.json:789,scripts/.work/qoder-doc-parity.json:826,scripts/.work/qoder-doc-parity.json:830,scripts/.work/qoder-doc-parity.json:867,scripts/.work/qoder-doc-parity.json:871,scripts/.work/qoder-doc-parity.txt:218,scripts/.work/qoder-doc-parity.txt:219,scripts/.work/qoder-doc-parity.txt:225,scripts/.work/qoder-doc-parity.txt:226,scripts/.work/qoder-doc-parity.txt:232,scripts/.work/qoder-doc-parity.txt:233; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:198,omni-frontend/e2e-docs/screenshot-manifest.yaml:704",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,f9dbc9d6f0dc5f50d9ad9492f073ecf1de7e465e5e7a04e196bbde3f3da897dc,206444,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/resource-not-found-404.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/permissions.en.md:101,docs/guides/permissions.jp.md:115,docs/guides/permissions.kr.md:115,docs/guides/permissions.md:115; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:72,scripts/.work/qoder-doc-parity-findings-full.txt:75,scripts/.work/qoder-doc-parity-findings-full.txt:78,scripts/.work/qoder-doc-parity.json:148,scripts/.work/qoder-doc-parity.json:157,scripts/.work/qoder-doc-parity.json:26,scripts/.work/qoder-doc-parity.json:35,scripts/.work/qoder-doc-parity.json:87,scripts/.work/qoder-doc-parity.json:96,scripts/.work/qoder-doc-parity.txt:113,scripts/.work/qoder-doc-parity.txt:114,scripts/.work/qoder-doc-parity.txt:120,scripts/.work/qoder-doc-parity.txt:121,scripts/.work/qoder-doc-parity.txt:127,scripts/.work/qoder-doc-parity.txt:128; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:219,omni-frontend/e2e-docs/screenshot-manifest.yaml:1107",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,5a73056f29893b4aae703274d62c97719cdfecf79f02db305cf44a1e0f7c6b71,19889,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/scheduling-job-type.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/scheduling.en.md:34,docs/guides/scheduling.jp.md:34,docs/guides/scheduling.kr.md:34,docs/guides/scheduling.md:34; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:81,scripts/.work/qoder-doc-parity-findings-full.txt:87,scripts/.work/qoder-doc-parity-findings-full.txt:90,scripts/.work/qoder-doc-parity.json:367,scripts/.work/qoder-doc-parity.json:373,scripts/.work/qoder-doc-parity.json:416,scripts/.work/qoder-doc-parity.json:422,scripts/.work/qoder-doc-parity.json:465,scripts/.work/qoder-doc-parity.json:471,scripts/.work/qoder-doc-parity.txt:155,scripts/.work/qoder-doc-parity.txt:156,scripts/.work/qoder-doc-parity.txt:162,scripts/.work/qoder-doc-parity.txt:163,scripts/.work/qoder-doc-parity.txt:169,scripts/.work/qoder-doc-parity.txt:170; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:78,omni-frontend/e2e-docs/screenshot-manifest.yaml:1555",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,aa83a1baf636dea471b9c94131a140710e76eb63e62e60242f37d17ac3b43592,177465,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/scheduling-personal-create-validation.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/scheduling.en.md:43,docs/guides/scheduling.jp.md:43,docs/guides/scheduling.kr.md:43,docs/guides/scheduling.md:43; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:81,scripts/.work/qoder-doc-parity-findings-full.txt:87,scripts/.work/qoder-doc-parity-findings-full.txt:90,scripts/.work/qoder-doc-parity.json:368,scripts/.work/qoder-doc-parity.json:374,scripts/.work/qoder-doc-parity.json:417,scripts/.work/qoder-doc-parity.json:423,scripts/.work/qoder-doc-parity.json:466,scripts/.work/qoder-doc-parity.json:472,scripts/.work/qoder-doc-parity.txt:155,scripts/.work/qoder-doc-parity.txt:156,scripts/.work/qoder-doc-parity.txt:162,scripts/.work/qoder-doc-parity.txt:163,scripts/.work/qoder-doc-parity.txt:169,scripts/.work/qoder-doc-parity.txt:170; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:79,omni-frontend/e2e-docs/screenshot-manifest.yaml:1619",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,3ea233a90b0fe042b9c30d77cf6fe20c955dc38c9234adf321076d75498ab08e,200585,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/scheduling-personal-lifecycle.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/scheduling.en.md:52,docs/guides/scheduling.jp.md:52,docs/guides/scheduling.kr.md:52,docs/guides/scheduling.md:52; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:81,scripts/.work/qoder-doc-parity-findings-full.txt:87,scripts/.work/qoder-doc-parity-findings-full.txt:90,scripts/.work/qoder-doc-parity.json:369,scripts/.work/qoder-doc-parity.json:375,scripts/.work/qoder-doc-parity.json:418,scripts/.work/qoder-doc-parity.json:424,scripts/.work/qoder-doc-parity.json:467,scripts/.work/qoder-doc-parity.json:473,scripts/.work/qoder-doc-parity.txt:155,scripts/.work/qoder-doc-parity.txt:156,scripts/.work/qoder-doc-parity.txt:162,scripts/.work/qoder-doc-parity.txt:163,scripts/.work/qoder-doc-parity.txt:169,scripts/.work/qoder-doc-parity.txt:170; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:80,omni-frontend/e2e-docs/screenshot-manifest.yaml:1683",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,9f06d2f8e558e1ceb5fe51d6d26d4b28302a883be2da11ef246916c6cfc88999,132798,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/scheduling-system-jobs.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/scheduling.en.md:25,docs/guides/scheduling.jp.md:25,docs/guides/scheduling.kr.md:25,docs/guides/scheduling.md:25; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:81,scripts/.work/qoder-doc-parity-findings-full.txt:87,scripts/.work/qoder-doc-parity-findings-full.txt:90,scripts/.work/qoder-doc-parity.json:370,scripts/.work/qoder-doc-parity.json:376,scripts/.work/qoder-doc-parity.json:419,scripts/.work/qoder-doc-parity.json:425,scripts/.work/qoder-doc-parity.json:468,scripts/.work/qoder-doc-parity.json:474,scripts/.work/qoder-doc-parity.txt:155,scripts/.work/qoder-doc-parity.txt:156,scripts/.work/qoder-doc-parity.txt:162,scripts/.work/qoder-doc-parity.txt:163,scripts/.work/qoder-doc-parity.txt:169,scripts/.work/qoder-doc-parity.txt:170; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:77,omni-frontend/e2e-docs/screenshot-manifest.yaml:404",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,9dce1fa358250db6b5c8344b8fd105c123d4cafc502fcad490981489df41f182,177824,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/session-expired-dialog.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/evidence/scaffold-upgrade/i18n-findings-resolution-2026-09-04.md:16,docs/guides/authentication.en.md:95,docs/guides/authentication.jp.md:80,docs/guides/authentication.kr.md:80,docs/guides/authentication.md:97; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:52,scripts/.work/qoder-doc-parity-findings-full.txt:56,scripts/.work/qoder-doc-parity-findings-full.txt:60,scripts/.work/qoder-doc-parity.json:208,scripts/.work/qoder-doc-parity.json:215,scripts/.work/qoder-doc-parity.json:262,scripts/.work/qoder-doc-parity.json:269,scripts/.work/qoder-doc-parity.json:316,scripts/.work/qoder-doc-parity.json:323,scripts/.work/qoder-doc-parity.txt:134,scripts/.work/qoder-doc-parity.txt:135,scripts/.work/qoder-doc-parity.txt:141,scripts/.work/qoder-doc-parity.txt:142,scripts/.work/qoder-doc-parity.txt:148,scripts/.work/qoder-doc-parity.txt:149; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:23,omni-frontend/e2e-docs/screenshot-manifest.yaml:1299",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,8687b0db4c735c6919d31601a85404b8f8c7ce6ef3c199415717b5d97d7f5af5,90048,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=5; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-evaluations.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:514,docs/srm.jp.md:516,docs/srm.kr.md:516,docs/srm.md:517; SCRIPT=scripts/.work/qoder-stage-pathspec-b1.txt:23; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:179,omni-frontend/e2e-docs/screenshot-manifest.yaml:2835",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,7a1a040a64acafa0d7a1cc05051bc65db80c97879c819c9d40847423b301a150,179982,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-invites.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:517,docs/srm.jp.md:519,docs/srm.kr.md:519,docs/srm.md:520; SCRIPT=scripts/.work/qoder-stage-pathspec-b1.txt:26; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:182,omni-frontend/e2e-docs/screenshot-manifest.yaml:3027",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,f312238941d4e562d8349d83564a38c8249f73fc765d37819a442b679bcc293b,182199,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-overview.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/guides/srm-flow.en.md:36,docs/guides/srm-flow.jp.md:32,docs/guides/srm-flow.kr.md:32,docs/guides/srm-flow.md:42; SCRIPT=scripts/.work/qoder-doc-parity-findings-full.txt:108,scripts/.work/qoder-doc-parity-findings-full.txt:111,scripts/.work/qoder-doc-parity-findings-full.txt:114,scripts/.work/qoder-doc-parity.json:907,scripts/.work/qoder-doc-parity.json:910,scripts/.work/qoder-doc-parity.json:945,scripts/.work/qoder-doc-parity.json:948,scripts/.work/qoder-doc-parity.json:983,scripts/.work/qoder-doc-parity.json:986,scripts/.work/qoder-doc-parity.txt:239,scripts/.work/qoder-doc-parity.txt:240,scripts/.work/qoder-doc-parity.txt:246,scripts/.work/qoder-doc-parity.txt:247,scripts/.work/qoder-doc-parity.txt:253,scripts/.work/qoder-doc-parity.txt:254; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:174,omni-frontend/e2e-docs/screenshot-manifest.yaml:644",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,0f60f0a8b44c89d352f75571b7686d37121274d5b24ffcf867d48b44c0e36172,161413,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=15; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-portal-quotation-form.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:484,docs/srm.en.md:488,docs/srm.jp.md:486,docs/srm.jp.md:490,docs/srm.kr.md:486,docs/srm.kr.md:490,docs/srm.md:487,docs/srm.md:491; SCRIPT=scripts/.work/qoder-stage-pathspec.txt:20; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:176,omni-frontend/e2e-docs/screenshot-manifest.yaml:1763",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,8dc5fddf84e2a9fdb0a2df05ce709341bcf507b9884475709b3071a7b56df054,143004,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=8; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-portal-quotation-invitations.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:470,docs/srm.en.md:474,docs/srm.jp.md:472,docs/srm.jp.md:476,docs/srm.kr.md:472,docs/srm.kr.md:476,docs/srm.md:473,docs/srm.md:477; SCRIPT=scripts/.work/qoder-stage-pathspec.txt:21; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:175,omni-frontend/e2e-docs/screenshot-manifest.yaml:1747",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,b8ca0e0af36fc651e19d83b8042da267e366766ac829609a701f6ece65a674e3,50641,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=8; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-portal-quotation-mobile.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:533,docs/srm.jp.md:535,docs/srm.kr.md:535,docs/srm.md:536; SCRIPT=scripts/.work/qoder-stage-pathspec-b2.txt:7; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:183,omni-frontend/e2e-docs/screenshot-manifest.yaml:3091",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,044dd0e25fe64e590c0a4b1314f20731e437a5126447d8aa0102b3c997c8315c,27075,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-portal-quotation-submitted.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:498,docs/srm.en.md:502,docs/srm.jp.md:500,docs/srm.jp.md:504,docs/srm.kr.md:500,docs/srm.kr.md:504,docs/srm.md:501,docs/srm.md:505; SCRIPT=scripts/.work/qoder-stage-pathspec.txt:22; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:177,omni-frontend/e2e-docs/screenshot-manifest.yaml:1779",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,dc0c8df14aef5aa5006488b7c60557ce03924c2fa9ef1e2ba8c78cdc60b4fda3,53091,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=8; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-portal-quotation-tablet.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:534,docs/srm.jp.md:536,docs/srm.kr.md:536,docs/srm.md:537; SCRIPT=scripts/.work/qoder-stage-pathspec-b2.txt:8; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:184,omni-frontend/e2e-docs/screenshot-manifest.yaml:3155",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,336831f1a6e9ec1f5c505c1c921c0e99be80774a6361eaaac42fe9c3a891ed08,40799,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
docs/images/zh-CN/srm-risk-config.png,official-screenshot-candidate,正式manifest映射图片；本轮仅验证路径/用例关系，未独立视觉复核,"截图manifest/coverage及docs引用，含花括号语言目录表达式; DOCS=docs/srm.en.md:516,docs/srm.jp.md:518,docs/srm.kr.md:518,docs/srm.md:519; SCRIPT=scripts/.work/qoder-stage-pathspec-b1.txt:25; TEST=omni-frontend/e2e-docs/screenshot-coverage.yaml:181,omni-frontend/e2e-docs/screenshot-manifest.yaml:2963",KEEP_FINAL_EVIDENCE,已审核正式截图及视觉基线,docs/images/ + screenshot-manifest/coverage,KEEP,WP-014先核实版本/隐私/视觉；保留，只有替代正式图获批后可退役,HIGH,tracked-clean,85bba8f78bf76965120297bc6294889c74b7a46dd3fddb22df7876d15c1e6035,196900,CI=0; PACKAGE=0; BUILD=0; PRODUCTION=0; TEST=2; DOCS=4; SCRIPT=1; path/basename matches may be ambiguous; NOT_PROVEN_NO_DYNAMIC_REFERENCES; current-governance excluded to avoid inventory self-links
